identifier,player_name,team,player_position,player_minutes_played,player_total_point_obtained,round,player_costs,second_name,first_name,photo,holding_period,Cost,Gain/Loss
Firmino-27912,Firmino,Liverpool,Forward,68,22,4,7.84,Firmino,Roberto,92217.jpg,2,7.84,0.0
Groß-1045,Groß,Brighton,Midfielder,90,11,4,5.529,Groß,Pascal,60307.jpg,3,5.529,0.0
Mac Allister-1165,Mac Allister,Brighton,Midfielder,90,2,4,5.279999999999999,Mac Allister,Alexis,243016.jpg,4,5.279999999999999,0.0
Fornals-46919,Fornals,West Ham,Midfielder,90,11,4,5.346,Fornals Malla,Pablo,217593.jpg,1,5.346,0.0
Højbjerg-43318,Højbjerg,Spurs,Midfielder,90,3,4,5.279999999999999,Højbjerg,Pierre-Emile,132015.jpg,4,5.279999999999999,0.0
Sterling-3046,Sterling,Chelsea,Midfielder,74,15,4,9.504,Sterling,Raheem,103955.jpg,4,9.6,-0.09600000000000009
Podence-48320,Podence,Wolves,Midfielder,7,1,4,5.279999999999999,Castelo Podence,Daniel,200600.jpg,4,5.279999999999999,0.0
James-1466,James,Chelsea,Defender,90,7,4,5.856,James,Reece,225796.jpg,4,5.76,0.09600000000000009
Van Dijk-28012,Van Dijk,Liverpool,Defender,90,12,4,6.24,van Dijk,Virgil,97032.jpg,4,6.24,0.0
Zouma-46119,Zouma,West Ham,Defender,90,9,4,4.455,Zouma,Kurt,103192.jpg,1,4.455,0.0
Dalot-34214,Dalot,Man Utd,Defender,90,11,4,4.312,Dalot Teixeira,Diogo,216051.jpg,2,4.312,0.0
Ederson-30713,Ederson,Man City,Goalkeeper,90,6,5,5.335,Santana de Moraes,Ederson,121160.jpg,3,5.335,0.0
Henderson-39816,Henderson,Nott'm Forest,Goalkeeper,90,0,5,4.508,Henderson,Dean,172649.jpg,2,4.508,0.0
Mitrović-2109,Mitrović,Fulham,Forward,90,9,5,6.499,Mitrović,Aleksandar,128389.jpg,3,6.499,0.0
Firmino-27912,Firmino,Liverpool,Forward,90,9,5,7.84,Firmino,Roberto,92217.jpg,2,7.84,0.0
Kane-42718,Kane,Spurs,Forward,90,5,5,11.172,Kane,Harry,78830.jpg,2,11.172,0.0
A.Armstrong-40817,A.Armstrong,Southampton,Forward,85,9,5,5.445,Armstrong,Adam,155511.jpg,1,5.445,0.0
Haaland-31813,Haaland,Man City,Forward,68,17,5,11.564,Haaland,Erling,223094.jpg,2,11.466,0.09800000000000075
Groß-1045,Groß,Brighton,Midfielder,90,2,5,5.6259999999999994,Groß,Pascal,60307.jpg,3,5.529,0.09699999999999953
Mac Allister-1165,Mac Allister,Brighton,Midfielder,90,10,5,5.279999999999999,Mac Allister,Alexis,243016.jpg,4,5.279999999999999,0.0
Højbjerg-43318,Højbjerg,Spurs,Midfielder,90,2,5,5.279999999999999,Højbjerg,Pierre-Emile,132015.jpg,4,5.279999999999999,0.0
Soucek-46819,Soucek,West Ham,Midfielder,90,10,5,5.184,Soucek,Tomas,215439.jpg,4,5.184,0.0
Dalot-34214,Dalot,Man Utd,Defender,90,8,5,4.312,Dalot Teixeira,Diogo,216051.jpg,2,4.312,0.0
Van Dijk-28012,Van Dijk,Liverpool,Defender,90,2,5,6.24,van Dijk,Virgil,97032.jpg,4,6.24,0.0
Collins-51620,Collins,Wolves,Defender,90,7,5,4.32,Collins,Nathan,432830.jpg,4,4.32,0.0
Cancelo-30613,Cancelo,Man City,Defender,67,12,5,7.029,Cancelo,João,121145.jpg,1,7.029,0.0
Pickford-1828,Pickford,Everton,Goalkeeper,90,9,6,4.32,Pickford,Jordan,111234.jpg,4,4.32,0.0
Ederson-30713,Ederson,Man City,Goalkeeper,90,2,6,5.335,Santana de Moraes,Ederson,121160.jpg,3,5.335,0.0
Toney-804,Toney,Brentford,Forward,90,17,6,7.029,Toney,Ivan,144485.jpg,1,7.029,0.0
Mitrović-2109,Mitrović,Fulham,Forward,90,5,6,6.596,Mitrović,Aleksandar,128389.jpg,3,6.499,0.09700000000000042
Solanke-663,Solanke,Bournemouth,Forward,90,12,6,5.529,Solanke,Dominic,154566.jpg,3,5.529,0.0
Kane-42718,Kane,Spurs,Forward,77,9,6,11.172,Kane,Harry,78830.jpg,2,11.172,0.0
Bailey-452,Bailey,Aston Villa,Midfielder,90,8,6,4.6530000000000005,Bailey,Leon,215711.jpg,1,4.6530000000000005,0.0
Soucek-46819,Soucek,West Ham,Midfielder,90,2,6,5.184,Soucek,Tomas,215439.jpg,4,5.184,0.0
Mac Allister-1165,Mac Allister,Brighton,Midfielder,90,14,6,5.279999999999999,Mac Allister,Alexis,243016.jpg,4,5.279999999999999,0.0
Groß-1045,Groß,Brighton,Midfielder,90,5,6,5.723,Groß,Pascal,60307.jpg,3,5.529,0.19399999999999995
Podence-48320,Podence,Wolves,Midfielder,81,11,6,5.279999999999999,Castelo Podence,Daniel,200600.jpg,4,5.279999999999999,0.0
Collins-51620,Collins,Wolves,Defender,90,9,6,4.32,Collins,Nathan,432830.jpg,4,4.32,0.0
Cancelo-30613,Cancelo,Man City,Defender,90,2,6,7.029,Cancelo,João,121145.jpg,1,7.029,0.0
Andersen-1657,Andersen,Crystal Palace,Defender,90,7,6,4.455,Andersen,Joachim,174874.jpg,1,4.455,0.0
Van Dijk-28012,Van Dijk,Liverpool,Defender,90,5,6,6.24,van Dijk,Virgil,97032.jpg,4,6.24,0.0
